Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center
mask.tif,1,152,277,785,1391,138.71067811865476,47.9207879266752,36.98286588021431,0.9084838352124828,1.2957564749548691,10.0,2.06
mask.tif,1,153,584,827,416,73.94112549695427,26.160019593159173,20.317762524401008,0.9561611214257792,1.2875443130975566,1.0,3.59
mask.tif,1,154,690,134,441,83.84062043356595,33.70888057895667,16.711315235046463,0.7883870582127248,2.0171291190931178,6.0,3.87
mask.tif,1,155,831,91,350,68.5269119345812,24.16452851971125,18.500942342013573,0.9366030884853872,1.3061242002163482,5.0,4.09
mask.tif,1,156,280,506,312,68.76955262170047,26.56058806911545,15.121923522545336,0.8290334614869912,1.7564292022450825,10.0,3.03
mask.tif,1,157,477,371,251,57.45584412271571,20.98009180763763,15.273482916003,0.9554658437915288,1.3736285248766311,7.0,5.48
mask.tif,1,158,95,259,232,56.2842712474619,21.293412369585823,13.920006129086264,0.9202879896258124,1.5296984909433775,10.0,1.92
mask.tif,1,159,360,209,277,62.8700576850888,23.878423714855103,14.848785069630283,0.8806471124520814,1.6081062257203007,10.0,2.67
mask.tif,1,160,93,982,492,81.59797974644667,26.86128764506825,23.37312572323226,0.9285732191435982,1.1492381448309608,4.0,2.76
mask.tif,1,161,143,898,266,58.04163056034261,20.598275176468697,16.56016861562134,0.99222985788515,1.243844531693849,1.0,5.46
mask.tif,1,162,135,293,250,58.52691193458119,22.475594905658227,14.267304778294674,0.917146372682324,1.5753217061607248,8.0,3.09
mask.tif,1,163,940,556,556,89.01219330881975,30.20130872586484,23.768645193465108,0.8818315863263353,1.2706365247173748,8.0,5.02
mask.tif,1,164,795,223,264,58.2842712474619,19.43440267734381,17.322888300103518,0.9765872490115112,1.1218915887847456,4.0,3.02
mask.tif,1,165,744,8,383,71.698484809835,26.06141246922974,18.75584682500529,0.9362432124506296,1.3895087069321057,1.0,5.82
mask.tif,1,166,84,63,438,79.01219330881975,30.052929579229573,18.595116775371,0.8816490407631279,1.6161732105406463,7.0,2.31
mask.tif,1,167,897,489,599,92.66904755831214,33.3215213618005,23.07947049483506,0.8765310147737478,1.4437732169486948,9.0,2.28
mask.tif,1,168,342,972,504,86.5269119345812,34.56890272830432,18.670100690736888,0.8459369432485248,1.8515648791040304,9.0,2.88
mask.tif,1,169,359,36,357,67.94112549695427,23.075901830324806,19.697791005333457,0.9718799129253224,1.1714969370969912,4.0,2.29
mask.tif,1,170,462,333,455,80.5269119345812,30.561695634577045,18.96821521998475,0.8817372139969482,1.611205655362741,2.0,4.95
mask.tif,1,171,294,453,170,46.62741699796952,14.98569166677315,14.488113978447602,0.9825984394647074,1.0343438551812707,4.0,3.13
mask.tif,1,172,602,955,466,86.87005768508881,35.99997355422627,16.74192726761318,0.7759889927292615,2.150288493002074,7.0,3.72
mask.tif,1,173,759,602,255,57.698484809834994,20.070340107985924,16.24904393268712,0.9625454100878764,1.235170523947674,4.0,5.2
mask.tif,1,174,527,310,531,90.42640687119284,36.07501148778704,18.81499072424476,0.8160444894768399,1.9173547314749,7.0,2.36
mask.tif,1,175,442,129,323,67.94112549695427,25.472477444203456,16.30417518564312,0.879319921218149,1.5623284928043226,9.0,2.23
mask.tif,1,176,569,233,196,50.04163056034261,17.484513302736495,14.28560639542349,0.9835649199677516,1.2239251746665651,7.0,4.37
mask.tif,1,177,924,787,259,58.2842712474619,21.187090358711107,15.613302992529109,0.9580912783862932,1.356989636904442,6.0,3.84
mask.tif,1,178,286,206,163,46.38477631085024,17.281436110356744,12.345248002521412,0.952021015319,1.399845196048484,8.0,2.98
mask.tif,1,179,936,490,489,82.18376618407356,28.18012706151862,22.205166857344768,0.9098014907359072,1.2690797255683546,4.0,1.49
mask.tif,1,180,477,413,275,62.52691193458119,22.35627881560235,16.143285199214628,0.8839111191033775,1.3848655053613244,10.0,3.6
mask.tif,1,181,683,972,414,79.01219330881975,29.16253996828624,18.346999168623217,0.8333395042829563,1.5894991709684934,10.0,3.59
mask.tif,1,182,260,216,258,58.52691193458119,20.263374980083885,16.306799476648784,0.9464950566081582,1.2426334799235672,10.0,2.34
mask.tif,1,183,500,597,1128,125.39696961967,43.8282520247193,32.94788247882104,0.901456720904786,1.3302297060483983,3.0,3.12
mask.tif,1,184,799,110,434,76.76955262170046,25.85522270315365,21.414239662750195,0.9253831217486896,1.207384577288004,3.0,4.09
mask.tif,1,185,549,933,557,90.76955262170048,33.48961829582355,21.622426582038766,0.8495416376644378,1.548837183872904,5.0,3.72
mask.tif,1,186,67,30,571,95.59797974644668,38.832231943229935,18.7907822369572,0.7851426026083201,2.0665574989664752,6.0,4.17
mask.tif,1,187,85,573,615,100.22539674441616,40.635184854098064,19.319237382684296,0.7693596608949169,2.1033534631402744,10.0,2.19
mask.tif,1,188,667,861,301,63.45584412271571,23.56958593203554,16.30871155673578,0.9393622607047164,1.44521447019528,1.0,5.07
mask.tif,1,189,900,933,512,86.18376618407356,33.13144546720731,19.70922374048981,0.8662213581607131,1.681012195277049,8.0,1.93
mask.tif,1,190,90,459,486,79.94112549695427,27.136130284445944,22.887215749683552,0.9556648582849688,1.1856457588040668,5.0,4.63
mask.tif,1,191,877,276,405,80.42640687119285,32.07594432514504,16.167632152244607,0.7868058024209934,1.98396054679484,10.0,2.3
mask.tif,1,192,345,366,509,91.74011537017762,37.64064130398076,17.33815061405851,0.7599921079955605,2.1709721031872986,10.0,3.64
mask.tif,1,193,930,448,418,75.11269837220809,23.68736291583763,22.61308658935836,0.9310208731454817,1.0475068417676705,1.0,4.08
mask.tif,1,194,912,391,519,88.42640687119285,33.340077016760574,20.31926309420326,0.8340906742084597,1.6408113257941883,6.0,4.05
mask.tif,1,195,590,378,324,66.2842712474619,24.67298427356288,16.78070669302396,0.9266887751644274,1.4703185464662154,5.0,3.21
mask.tif,1,196,616,406,366,76.76955262170047,29.46745692938364,16.887974863959275,0.7803922178802309,1.744878066598163,8.0,5.85
mask.tif,1,197,428,403,375,73.11269837220809,28.175551294705905,17.034683309695513,0.8815673686207127,1.654010866093966,1.0,5.0
mask.tif,1,198,985,312,239,56.52691193458119,21.05861470658412,14.456796124972868,0.939933749506615,1.4566584825947138,10.0,3.65
mask.tif,1,199,703,290,380,74.76955262170047,27.971065565980982,17.40551670819388,0.8541691785110929,1.6070229936243854,9.0,1.87
mask.tif,1,200,635,741,756,101.49747468305831,33.186985690263654,29.12676989956775,0.922191650396054,1.139398079659913,4.0,2.16
mask.tif,1,201,934,102,276,61.11269837220809,21.988831193888952,16.038332915937847,0.9286584741578974,1.371017256540291,3.0,8.16
mask.tif,1,202,226,624,986,120.22539674441616,45.5425741583205,27.60292619224881,0.8572240384590855,1.6499183398573636,10.0,1.95
mask.tif,1,203,626,609,1032,118.5685424949238,40.968666257325125,32.11304214638875,0.9224664898815556,1.2757640982927625,8.0,2.94
mask.tif,1,204,714,930,395,78.8700576850888,32.58043548025379,15.66484041408867,0.7979627947512391,2.0798447107671483,9.0,3.54
mask.tif,1,205,470,623,926,113.1543289325507,39.33293498642031,30.048539257293125,0.9088213145461926,1.308979935750912,9.0,2.45
mask.tif,1,206,974,375,578,89.84062043356595,32.570266401038246,23.0250224173264,0.8998957847019232,1.41455959567401,7.0,3.99
mask.tif,1,207,208,217,390,79.11269837220809,31.58364562893425,15.971068786640812,0.7830366248578746,1.9775536659984057,10.0,3.72
mask.tif,1,208,652,780,537,89.35533905932738,33.841054661488734,20.25440637930044,0.8451681756035361,1.6707996288685878,7.0,3.82
mask.tif,1,209,204,716,578,87.59797974644667,29.41371562133439,25.124153311875432,0.946562994635624,1.1707346017281073,3.0,4.52
mask.tif,1,210,932,751,307,64.5269119345812,23.10955306860412,17.01831473073025,0.9265449137860308,1.357922534296232,8.0,5.48
mask.tif,1,211,758,196,378,70.52691193458118,22.936189346045943,21.03904704945603,0.9549748341688892,1.0901724442238443,4.0,4.64
mask.tif,1,212,239,476,456,81.01219330881976,29.80091941873933,19.558451123600864,0.8731199790345163,1.5236850418476668,10.0,1.49
mask.tif,1,213,314,443,340,67.35533905932738,22.223413455458484,19.56966877364658,0.941769730701958,1.1356049871107456,1.0,6.47
mask.tif,1,214,736,633,1079,123.1543289325507,44.32014666598472,31.16260037203478,0.8939885253398194,1.4222223478422384,5.0,2.52
mask.tif,1,215,768,541,1117,127.05382386916236,45.67244408603632,31.147279550970136,0.8695359788166507,1.466338143955618,10.0,1.38
mask.tif,1,216,107,341,359,69.35533905932738,23.46031892492421,19.62354506066012,0.9378740383645758,1.1955188959183418,7.0,3.35
mask.tif,1,217,987,958,386,77.45584412271572,29.82280153521963,16.79607852343125,0.8085163115980205,1.775581216390215,7.0,8.18
mask.tif,1,218,478,847,649,97.01219330881976,35.910218180722815,23.11120174282911,0.866566535772598,1.5538014241022735,1.0,5.32
mask.tif,1,219,117,50,854,108.08326112068522,38.63265038779187,28.299615852107674,0.9186516405799396,1.3651298515741026,5.0,2.37
mask.tif,1,220,599,870,676,98.32590180780451,37.05245388575898,23.370946220443564,0.8786596506119013,1.5854066641661098,7.0,3.89
