center,angle
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[ 40 101],2.8125
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[27 80],8.4375
[ 39 142],177.1875
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[ 42 100],2.8125
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[28 80],8.4375
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[16 92],171.5625
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
[27 80],2.8125
